0,0,48,256,4
0,932,64,28,4
0,260,80,160,8
0,420,112,160,8
0,580,144,160,8
0,802,46,28,4
0,866,80,28,4
0,930,112,28,4
1,702,112,32,140
1,802,32,30,32
1,866,64,30,80
1,929,98,30,112
0,960,48,125,4
0,1060,112,24,4
2,1094,134,1,106
0,1096,144,88,4
0,1154,48,92,4
0,1220,144,92,12
0,1280,80,62,4
0,1374,48,64,4
1,1140,134,42,48
1,1218,134,40,48
0,1314,112,290,4
0,1474,80,60,4
0,1564,48,122,4
0,1602,144,152,8
1,1748,134,16,64
1,1824,38,32,32
2,1892,134,24,30
0,1826,48,28,4
0,1862,112,16,4
0,1894,144,54,4
0,1986,80,28,4
1,1920,134,30,96
1,1986,70,30,80
1,2050,70,30,80
0,2050,80,92,4
0,2146,112,92,16
1,2206,100,32,80
0,2208,56,32,8
0,2240,48,92,8
0,2338,80,60,8
0,2398,48,92,8
0,2498,80,92,8
0,2592,48,60,8
0,2658,80,60,8
0,2722,112,154,8
1,2846,90,32,64
1,2946,38,32,64
0,2948,48,100,8
